pf_name,gs_cagr,prod_cagr,gap_pct,gs_maxdd,prod_maxdd,gap_maxdd,suspected_cause
シン青龍-激攻,0.537,0.3897,-27.4,-0.61,-0.6417,-5.2,large_divergence
シン青龍-常勝,0.528,0.3979,-24.6,-0.576,-0.6081,-5.6,large_divergence
シン青龍-鉄壁,0.446,0.3714,-16.7,-0.576,-0.6081,-5.6,resolution_diff(PI-001)
シン朱雀-激攻,0.356,0.2367,-33.5,-0.652,-0.6584,-1.0,large_divergence
シン朱雀-鉄壁,0.353,0.2905,-17.7,-0.576,-0.6758,-17.3,resolution_diff(PI-001)
シン白虎-激攻,0.466,0.4251,-8.8,-0.294,-0.3274,-11.4,resolution_diff(PI-001)
シン白虎-常勝,0.447,0.4138,-7.4,-0.336,-0.354,-5.4,resolution_diff(PI-001)
シン白虎-鉄壁,0.432,0.4582,6.1,-0.277,-0.3274,-18.2,resolution_diff(PI-001)
シン玄武-激攻,0.379,0.3439,-9.3,-0.456,-0.4897,-7.4,resolution_diff(PI-001)
シン玄武-鉄壁,0.309,0.3261,5.5,-0.261,-0.2399,8.1,resolution_diff(PI-001)
シン分身-激攻,0.5375,0.4309,-19.8,-0.4176,-0.4305,-3.1,resolution_diff(PI-001); NO_FoF_WEIGHTS
シン分身-鉄壁,0.4085,0.3787,-7.3,-0.168,-0.1721,-2.4,resolution_diff(PI-001); NO_FoF_WEIGHTS
シン分身-常勝,0.461,0.4093,-11.2,-0.3599,-0.3745,-4.0,resolution_diff(PI-001); NO_FoF_WEIGHTS
シン四つ目-激攻,0.7136,0.4907,-31.2,-0.278,-0.2773,0.3,large_divergence; NO_FoF_WEIGHTS
シン四つ目-鉄壁,0.4093,0.4294,4.9,-0.168,-0.2094,-24.7,within_tolerance(<5%); NO_FoF_WEIGHTS
シン四つ目-常勝,0.538,0.4004,-25.6,-0.5934,-0.625,-5.3,large_divergence; NO_FoF_WEIGHTS
シン追い風-激攻,0.6819,0.5412,-20.6,-0.3148,-0.4295,-36.4,large_divergence; NO_FoF_WEIGHTS
シン追い風-鉄壁,0.6257,0.2582,-58.7,-0.1596,-0.6081,-281.1,large_divergence; NO_FoF_WEIGHTS
シン追い風-常勝,0.4827,0.3579,-25.9,-0.3868,-0.625,-61.6,large_divergence; NO_FoF_WEIGHTS
シン変わり身-激攻,0.7001,0.4794,-31.5,-0.24,-0.3618,-50.8,large_divergence; NO_FoF_WEIGHTS
シン変わり身-鉄壁,0.5342,0.4867,-8.9,-0.1595,-0.273,-71.2,resolution_diff(PI-001); NO_FoF_WEIGHTS
シン変わり身-常勝,0.4919,0.4636,-5.8,-0.3599,-0.3745,-4.0,resolution_diff(PI-001); NO_FoF_WEIGHTS
シン抜き身-激攻,0.784,0.4528,-42.2,-0.2476,-0.6962,-181.2,large_divergence; NO_FoF_WEIGHTS
シン抜き身-鉄壁,0.4802,0.4392,-8.5,-0.1595,-0.225,-41.1,resolution_diff(PI-001); NO_FoF_WEIGHTS
シン抜き身-常勝,0.5208,0.4397,-15.6,-0.5763,-0.6081,-5.5,resolution_diff(PI-001); NO_FoF_WEIGHTS
シン加速R-激攻,0.8346,0.6227,-25.4,-0.4424,-0.6584,-48.8,large_divergence; NO_FoF_WEIGHTS
シン加速R-鉄壁,0.7102,0.4736,-33.3,-0.1438,-0.2548,-77.1,large_divergence; NO_FoF_WEIGHTS
シン加速R-常勝,0.8174,0.4907,-40.0,-0.4424,-0.5681,-28.4,large_divergence; NO_FoF_WEIGHTS
シン加速D-激攻,0.8658,0.5775,-33.3,-0.2649,-0.6308,-138.1,large_divergence; NO_FoF_WEIGHTS
シン加速D-鉄壁,0.4167,0.465,11.6,-0.136,-0.2825,-107.7,resolution_diff(PI-001); NO_FoF_WEIGHTS
シン加速D-常勝,0.6712,0.5671,-15.5,-0.5763,-0.3494,39.4,resolution_diff(PI-001); NO_FoF_WEIGHTS
